"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Barcode","Variant Price","Variant Grams","Variant Inventory Qty","Status"
"keralit-sponning-143","","","","","","","Kleur","Crème","Lengte","3 m","KER-SP143-CREM-3M","","46.90","","10",""
"keralit-sponning-143","","","","","","","Kleur","Diepzwart","Lengte","3 m","KER-SP143-ZWPT-3M","","46.90","","10",""
"keralit-sponning-167","Keralit sponning 167 mm","Sponningdeel 167 mm. Iets bredere groef dan 143 mm, zelfde Keralit-folie en garantie.","Keralit","gevelbekleding","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-SP167-ANTR","","102.19","","10","active"
"keralit-sponning-167","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-SP167-VEIK","","102.19","","10",""
"keralit-sponning-167","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-SP167-GOLD","","102.19","","10",""
"keralit-sponning-167","","","","","","","Kleur","Crème","Lengte","6 m","KER-SP167-CREM","","102.19","","10",""
"keralit-sponning-167","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-SP167-ZWPT","","102.19","","10",""
"keralit-sponning-167","","","","","","","Kleur","Antraciet","Lengte","3 m","KER-SP167-ANTR-3M","","54.90","","10",""
"keralit-sponning-167","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","KER-SP167-VEIK-3M","","54.90","","10",""
"keralit-sponning-167","","","","","","","Kleur","Golden oak","Lengte","3 m","KER-SP167-GOLD-3M","","54.90","","10",""
"keralit-sponning-167","","","","","","","Kleur","Crème","Lengte","3 m","KER-SP167-CREM-3M","","54.90","","10",""
"keralit-sponning-167","","","","","","","Kleur","Diepzwart","Lengte","3 m","KER-SP167-ZWPT-3M","","54.90","","10",""
"keralit-sponning-190","Keralit sponning 190 mm","Breed sponningdeel 190 mm. Minder naden, zelfde systeem als 143 en 167 mm.","Keralit","gevelbekleding","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-SP190-ANTR","","116.14","","10","active"
"keralit-sponning-190","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-SP190-VEIK","","116.14","","10",""
"keralit-sponning-190","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-SP190-GOLD","","116.14","","10",""
"keralit-sponning-190","","","","","","","Kleur","Crème","Lengte","6 m","KER-SP190-CREM","","116.14","","10",""
"keralit-sponning-190","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-SP190-ZWPT","","116.14","","10",""
"keralit-sponning-190","","","","","","","Kleur","Antraciet","Lengte","3 m","KER-SP190-ANTR-3M","","62.39","","10",""
"keralit-sponning-190","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","KER-SP190-VEIK-3M","","62.39","","10",""
"keralit-sponning-190","","","","","","","Kleur","Golden oak","Lengte","3 m","KER-SP190-GOLD-3M","","62.39","","10",""
"keralit-sponning-190","","","","","","","Kleur","Crème","Lengte","3 m","KER-SP190-CREM-3M","","62.39","","10",""
"keralit-sponning-190","","","","","","","Kleur","Diepzwart","Lengte","3 m","KER-SP190-ZWPT-3M","","62.39","","10",""
"keralit-potdeksel-177","Keralit potdeksel 177 mm","Potdeksel 177 mm met overlapping. Klassieke gevel, extra waterkering. Keralit-folie en 10 jaar kleurvast.","Keralit","gevelbekleding","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-PD177-ANTR","","107.93","","10","active"
"keralit-potdeksel-177","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-PD177-VEIK","","107.93","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-PD177-GOLD","","107.93","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Crème","Lengte","6 m","KER-PD177-CREM","","107.93","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-PD177-ZWPT","","107.93","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Antraciet","Lengte","3 m","KER-PD177-ANTR-3M","","57.98","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","KER-PD177-VEIK-3M","","57.98","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Golden oak","Lengte","3 m","KER-PD177-GOLD-3M","","57.98","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Crème","Lengte","3 m","KER-PD177-CREM-3M","","57.98","","10",""
"keralit-potdeksel-177","","","","","","","Kleur","Diepzwart","Lengte","3 m","KER-PD177-ZWPT-3M","","57.98","","10",""
"eurotexx-potdeksel-180","Eurotexx potdeksel 180 mm","Klassiek potdeksel 180 mm. Overlapping voert regenwater af. Compleet met stootvoeg, hoek- en eindprofiel.","Eurotexx","gevelbekleding","eurotexx","TRUE","Kleur","Vergrijsd eiken","Lengte","6 m","ET-PD180-VEIK","","79.95","","10","active"
"eurotexx-potdeksel-180","","","","","","","Kleur","Eiken","Lengte","6 m","ET-PD180-EIKN","","79.95","","10",""
"eurotexx-potdeksel-180","","","","","","","Kleur","Meranti","Lengte","6 m","ET-PD180-MERA","","79.95","","10",""
"eurotexx-potdeksel-180","","","","","","","Kleur","Antraciet","Lengte","6 m","ET-PD180-ANTR","","79.95","","10",""
"eurotexx-potdeksel-180","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","ET-PD180-VEIK-3M","","42.95","","10",""
"eurotexx-potdeksel-180","","","","","","","Kleur","Eiken","Lengte","3 m","ET-PD180-EIKN-3M","","42.95","","10",""
"eurotexx-potdeksel-180","","","","","","","Kleur","Meranti","Lengte","3 m","ET-PD180-MERA-3M","","42.95","","10",""
"eurotexx-potdeksel-180","","","","","","","Kleur","Antraciet","Lengte","3 m","ET-PD180-ANTR-3M","","42.95","","10",""
"kerrafront-multi-sponningdeel-332","Kerrafront Multi sponningdeel 332 mm","Breed multi-sponningdeel 332 mm. Weinig naden, strakke gevel. Vraag de actuele prijs bij grote aantallen.","Kerrafront","gevelbekleding","kerrafront","TRUE","Kleur","Antraciet","Lengte","6 m","KF-MS332-ANTR","","124.50","","10","active"
"kerrafront-multi-sponningdeel-332","","","","","","","Kleur","Wit","Lengte","6 m","KF-MS332-WIT","","124.50","","10",""
"kerrafront-multi-sponningdeel-332","","","","","","","Kleur","Zand","Lengte","6 m","KF-MS332-ZAND","","124.50","","10",""
"kerrafront-multi-sponningdeel-332","","","","","","","Kleur","Noten","Lengte","6 m","KF-MS332-NOTE","","124.50","","10",""
"kerrafront-multi-sponningdeel-332","","","","","","","Kleur","Antraciet","Lengte","3 m","KF-MS332-ANTR-3M","","66.88","","10",""
"kerrafront-multi-sponningdeel-332","","","","","","","Kleur","Wit","Lengte","3 m","KF-MS332-WIT-3M","","66.88","","10",""
"kerrafront-multi-sponningdeel-332","","","","","","","Kleur","Zand","Lengte","3 m","KF-MS332-ZAND-3M","","66.88","","10",""
"kerrafront-multi-sponningdeel-332","","","","","","","Kleur","Noten","Lengte","3 m","KF-MS332-NOTE-3M","","66.88","","10",""
"kerrafront-dubbel-sponningdeel-332","Kerrafront dubbel sponningdeel 332 mm","Dubbel sponningdeel 332 mm. Twee groeven in één deel, ritme in de gevel zonder extra naden.","Kerrafront","gevelbekleding","kerrafront","TRUE","Kleur","Antraciet","Lengte","6 m","KF-DS332-ANTR","","129.50","","10","active"
"kerrafront-dubbel-sponningdeel-332","","","","","","","Kleur","Wit","Lengte","6 m","KF-DS332-WIT","","129.50","","10",""
"kerrafront-dubbel-sponningdeel-332","","","","","","","Kleur","Zand","Lengte","6 m","KF-DS332-ZAND","","129.50","","10",""
"kerrafront-dubbel-sponningdeel-332","","","","","","","Kleur","Noten","Lengte","6 m","KF-DS332-NOTE","","129.50","","10",""
"kerrafront-dubbel-sponningdeel-332","","","","","","","Kleur","Antraciet","Lengte","3 m","KF-DS332-ANTR-3M","","69.57","","10",""
"kerrafront-dubbel-sponningdeel-332","","","","","","","Kleur","Wit","Lengte","3 m","KF-DS332-WIT-3M","","69.57","","10",""
"kerrafront-dubbel-sponningdeel-332","","","","","","","Kleur","Zand","Lengte","3 m","KF-DS332-ZAND-3M","","69.57","","10",""
"kerrafront-dubbel-sponningdeel-332","","","","","","","Kleur","Noten","Lengte","3 m","KF-DS332-NOTE-3M","","69.57","","10",""
"profex-duafort-rabat-125","Duafort Rabat 125 mm","Duafort rabat 125 mm, gebruikt als Canexel-vervanger. Licht, onderhoudsarm, klassieke overlapping.","Profex","gevelbekleding","profex","TRUE","Kleur","Antraciet","Lengte","6 m","PX-DF125-ANTR","","43.09","","10","active"
"profex-duafort-rabat-125","","","","","","","Kleur","Bruin","Lengte","6 m","PX-DF125-BRUN","","43.09","","10",""
"profex-duafort-rabat-125","","","","","","","Kleur","Groen","Lengte","6 m","PX-DF125-GROE","","43.09","","10",""
"profex-duafort-rabat-125","","","","","","","Kleur","Antraciet","Lengte","3 m","PX-DF125-ANTR-3M","","23.15","","10",""
"profex-duafort-rabat-125","","","","","","","Kleur","Bruin","Lengte","3 m","PX-DF125-BRUN-3M","","23.15","","10",""
"profex-duafort-rabat-125","","","","","","","Kleur","Groen","Lengte","3 m","PX-DF125-GROE-3M","","23.15","","10",""
"zierer-hoekstuk-50x50x345","Zierer hoekstuk 50 × 50 × 345 mm wildverband","Hoekstuk voor Zierer steenstrips, wildverband. 50 × 50 × 345 mm. Compleet met bijpassende schroeven.","Zierer","gevelbekleding","zierer","TRUE","Kleur","Grijs wildverband","Lengte","345 mm","ZI-HK345-GRYS","","13.49","","10","active"
"zierer-hoekstuk-50x50x345","","","","","","","Kleur","Rood wildverband","Lengte","345 mm","ZI-HK345-ROOD","","13.49","","10",""
"zierer-hoekstuk-50x50x345","","","","","","","Kleur","Antraciet wildverband","Lengte","345 mm","ZI-HK345-ANTR","","13.49","","10",""
"vinyplus-dakrandpaneel-200","Vinyplus Dakrandpaneel 200 × 35 × 16 mm","Dakrandpaneel 200 mm voor boeiboord en overhang. Zelfde folie als VinyPlus geveldelen.","VinyPlus","dakranden","vinyplus","TRUE","Kleur","Antraciet","Lengte","6 m","VP-DR200-ANTR","","189.00","","10","active"
"vinyplus-dakrandpaneel-200","","","","","","","Kleur","Wit","Lengte","6 m","VP-DR200-WIT","","189.00","","10",""
"vinyplus-dakrandpaneel-200","","","","","","","Kleur","Crème","Lengte","6 m","VP-DR200-CREM","","189.00","","10",""
"vinyplus-dakrandpaneel-200","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","VP-DR200-VEIK","","189.00","","10",""
"vinyplus-dakrandpaneel-200","","","","","","","Kleur","Meranti","Lengte","6 m","VP-DR200-MERA","","189.00","","10",""
"vinyplus-dakrandpaneel-295","Vinyplus Dakrandpaneel 295 × 35 × 16 mm","Stevig dakrandpaneel 295 mm voor boeiboord en overhang. Past bij VinyPlus geveldelen.","VinyPlus","dakranden","vinyplus","TRUE","Kleur","Antraciet","Lengte","6 m","VP-DR295-ANTR","","264.99","","0","active"
"vinyplus-dakrandpaneel-295","","","","","","","Kleur","Wit","Lengte","6 m","VP-DR295-WIT","","264.99","","0",""
"vinyplus-dakrandpaneel-295","","","","","","","Kleur","Crème","Lengte","6 m","VP-DR295-CREM","","264.99","","0",""
"vinyplus-dakrandpaneel-295","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","VP-DR295-VEIK","","264.99","","0",""
"vinyplus-dakrandpaneel-295","","","","","","","Kleur","Meranti","Lengte","6 m","VP-DR295-MERA","","264.99","","0",""
"keralit-dakrand-paneel-200","Keralit dakrand paneel 200 mm","Dakrandpaneel 200 mm, zelfde folie als Keralit geveldelen. Compleet met montage- en eindprofiel.","Keralit","dakranden","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-DR200-ANTR","","196.98","","10","active"
"keralit-dakrand-paneel-200","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-DR200-VEIK","","196.98","","10",""
"keralit-dakrand-paneel-200","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-DR200-GOLD","","196.98","","10",""
"keralit-dakrand-paneel-200","","","","","","","Kleur","Crème","Lengte","6 m","KER-DR200-CREM","","196.98","","10",""
"keralit-dakrand-paneel-200","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-DR200-ZWPT","","196.98","","10",""
"keralit-dakrand-paneel-250","Keralit dakrand paneel 250 mm","Dakrandpaneel 250 mm voor bredere overstek. Folie en garantie gelijk aan Keralit gevel.","Keralit","dakranden","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-DR250-ANTR","","239.06","","10","active"
"keralit-dakrand-paneel-250","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-DR250-VEIK","","239.06","","10",""
"keralit-dakrand-paneel-250","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-DR250-GOLD","","239.06","","10",""
"keralit-dakrand-paneel-250","","","","","","","Kleur","Crème","Lengte","6 m","KER-DR250-CREM","","239.06","","10",""
"keralit-dakrand-paneel-250","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-DR250-ZWPT","","239.06","","10",""
"keralit-dakrand-paneel-300","Keralit dakrand paneel 300 mm","Dakrandpaneel 300 mm. Doorlopende lijn met Keralit geveldelen.","Keralit","dakranden","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-DR300-ANTR","","276.95","","10","active"
"keralit-dakrand-paneel-300","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-DR300-VEIK","","276.95","","10",""
"keralit-dakrand-paneel-300","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-DR300-GOLD","","276.95","","10",""
"keralit-dakrand-paneel-300","","","","","","","Kleur","Crème","Lengte","6 m","KER-DR300-CREM","","276.95","","10",""
"keralit-dakrand-paneel-300","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-DR300-ZWPT","","276.95","","10",""
"milexx-volschuim-dakrand-hoek-35","Milexx volschuim dakrandpanelen haakse hoek 35 mm","Haakse hoek 35 mm voor Milexx volschuim dakrandpanelen. Licht, strak, onderhoudsarm.","Milexx","dakranden","milexx","TRUE","Kleur","Antraciet","Lengte","stuk","MX-HK35-ANTR","","28.50","","10","active"
"milexx-volschuim-dakrand-hoek-35","","","","","","","Kleur","Wit","Lengte","stuk","MX-HK35-WIT","","28.50","","10",""
"milexx-volschuim-dakrand-hoek-35","","","","","","","Kleur","Bruin","Lengte","stuk","MX-HK35-BRUN","","28.50","","10",""
"keralit-dakrand-eindprofiel-10mm","Keralit dakrand eindprofiel 10 mm","Eindprofiel 10 mm voor Keralit dakrandpanelen. Nette sluiting aan de kopse kant.","Keralit","dakranden","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-DRE10-ANTR","","37.36","","10","active"
"keralit-dakrand-eindprofiel-10mm","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-DRE10-VEIK","","37.36","","10",""
"keralit-dakrand-eindprofiel-10mm","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-DRE10-GOLD","","37.36","","10",""
"keralit-dakrand-eindprofiel-10mm","","","","","","","Kleur","Crème","Lengte","6 m","KER-DRE10-CREM","","37.36","","10",""
"keralit-dakrand-eindprofiel-10mm","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-DRE10-ZWPT","","37.36","","10",""
"keralit-dakrand-montage-profiel-10mm","Keralit dakrand montage profiel 10 mm","Montageprofiel 10 mm waarop het Keralit dakrandpaneel klikt.","Keralit","dakranden","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-DRM10-ANTR","","42.39","","10","active"
"keralit-dakrand-montage-profiel-10mm","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-DRM10-VEIK","","42.39","","10",""
"keralit-dakrand-montage-profiel-10mm","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-DRM10-GOLD","","42.39","","10",""
"keralit-dakrand-montage-profiel-10mm","","","","","","","Kleur","Crème","Lengte","6 m","KER-DRM10-CREM","","42.39","","10",""
"keralit-dakrand-montage-profiel-10mm","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-DRM10-ZWPT","","42.39","","10",""
"keralit-h-verbindingprofiel-10mm","H-verbindingprofiel 10 mm Keralit dakrand","H-verbinding 10 mm tussen twee Keralit dakrandpanelen in de lengte.","Keralit","dakranden","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-DRH10-ANTR","","27.36","","10","active"
"keralit-h-verbindingprofiel-10mm","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-DRH10-VEIK","","27.36","","10",""
"keralit-h-verbindingprofiel-10mm","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-DRH10-GOLD","","27.36","","10",""
"keralit-h-verbindingprofiel-10mm","","","","","","","Kleur","Crème","Lengte","6 m","KER-DRH10-CREM","","27.36","","10",""
"keralit-h-verbindingprofiel-10mm","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-DRH10-ZWPT","","27.36","","10",""
"milinboard-overzetvensterbank-380","Milinboard Overzetvensterbank 380 mm","Overzetvensterbank 380 mm over een bestaande steenachtige bank. Inclusief bijpassende eindkap 400 mm.","Milinboard","kozijnafwerking","milinboard","TRUE","Kleur","Wit","Lengte","op maat","MB-OV380-WIT","","219.99","","10","active"
"milinboard-overzetvensterbank-380","","","","","","","Kleur","Antraciet","Lengte","op maat","MB-OV380-ANTR","","219.99","","10",""
"milinboard-overzetvensterbank-380","","","","","","","Kleur","Steenlook","Lengte","op maat","MB-OV380-STEE","","219.99","","10",""
"milinboard-eindkap-400","Eindkap 400 mm Overzet Vensterbank","Eindkap 400 mm voor de Milinboard overzetvensterbank.","Milinboard","kozijnafwerking","milinboard","TRUE","Kleur","Wit","Lengte","stuk","MB-EK400-WIT","","5.99","","10","active"
"milinboard-eindkap-400","","","","","","","Kleur","Antraciet","Lengte","stuk","MB-EK400-ANTR","","5.99","","10",""
"milinboard-eindkap-400","","","","","","","Kleur","Steenlook","Lengte","stuk","MB-EK400-STEE","","5.99","","10",""
"milinboard-eindkap-steenlook-500","Eindkap Steenlook vensterbank 500 mm","Eindkap 500 mm voor steenlook vensterbanken.","Milinboard","kozijnafwerking","milinboard","TRUE","Kleur","Steenlook","Lengte","stuk","MB-EK500-STEE","","7.36","","10","active"
"afdichtingsprofiel-pvc-45","Afdichtingsprofiel PVC 45 mm breed toepassing horizontaal","Horizontaal afdichtingsprofiel 45 mm PVC, voor aansluiting plaat of kozijn.","Profex","kozijnafwerking","profex","TRUE","Kleur","Wit","Lengte","stuk","PX-AF45-WIT","","14.52","","10","active"
"vinyplus-montage-eindprofiel-3m","Vinyplus Montage eindprofiel 3 m¹","Eindprofiel 3 m voor VinyPlus gevel- en dakrandpanelen. Nette sluiting aan kopse kant of dagkant.","VinyPlus","montage","vinyplus","TRUE","Kleur","Antraciet","Lengte","3 m","VP-EP3-ANTR","","16.60","","10","active"
"vinyplus-montage-eindprofiel-3m","","","","","","","Kleur","Wit","Lengte","3 m","VP-EP3-WIT","","16.60","","10",""
"vinyplus-montage-eindprofiel-3m","","","","","","","Kleur","Crème","Lengte","3 m","VP-EP3-CREM","","16.60","","10",""
"vinyplus-montage-eindprofiel-3m","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","VP-EP3-VEIK","","16.60","","10",""
"vinyplus-montage-eindprofiel-3m","","","","","","","Kleur","Meranti","Lengte","3 m","VP-EP3-MERA","","16.60","","10",""
"vinyplus-schroeven-35x30","Bevestigingsschroeven 3,5 × 30 mm","Schroeven 3,5 × 30 mm voor VinyPlus dakrand- en gevelmontage. Doos.","VinyPlus","montage","vinyplus","TRUE","Kleur","RVS","Lengte","doos","VP-SCR-35X30","","31.04","","0","active"
"keralit-verbindstuk-143","Keralit verbindstuk voor 143 mm","Verbindstuk voor Keralit sponning 143 mm. Koppeling in de lengte zonder zichtbare naadbreuk.","Keralit","montage","keralit","TRUE","Kleur","Antraciet","Lengte","stuk","KER-VB143-ANTR","","8.05","","10","active"
"keralit-verbindstuk-143","","","","","","","Kleur","Vergrijsd eiken","Lengte","stuk","KER-VB143-VEIK","","8.05","","10",""
"keralit-verbindstuk-143","","","","","","","Kleur","Golden oak","Lengte","stuk","KER-VB143-GOLD","","8.05","","10",""
"keralit-verbindstuk-143","","","","","","","Kleur","Crème","Lengte","stuk","KER-VB143-CREM","","8.05","","10",""
"keralit-verbindstuk-143","","","","","","","Kleur","Diepzwart","Lengte","stuk","KER-VB143-ZWPT","","8.05","","10",""
"keralit-startprofiel-horizontaal-22","Keralit startprofiel horizontaal 22 mm ventilatie","Startlat 22 mm met ventilatie, onderaan de Keralit-gevel.","Keralit","montage","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-ST22-ANTR","","64.55","","10","active"
"keralit-startprofiel-horizontaal-22","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-ST22-VEIK","","64.55","","10",""
"keralit-startprofiel-horizontaal-22","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-ST22-GOLD","","64.55","","10",""
"keralit-startprofiel-horizontaal-22","","","","","","","Kleur","Crème","Lengte","6 m","KER-ST22-CREM","","64.55","","10",""
"keralit-startprofiel-horizontaal-22","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-ST22-ZWPT","","64.55","","10",""
"keralit-eindprofiel-17","Keralit eindprofiel 17 mm","Eindprofiel 17 mm voor een nette sluiting van Keralit geveldelen.","Keralit","montage","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-EP17-ANTR","","38.51","","10","active"
"keralit-eindprofiel-17","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-EP17-VEIK","","38.51","","10",""
"keralit-eindprofiel-17","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-EP17-GOLD","","38.51","","10",""
"keralit-eindprofiel-17","","","","","","","Kleur","Crème","Lengte","6 m","KER-EP17-CREM","","38.51","","10",""
"keralit-eindprofiel-17","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-EP17-ZWPT","","38.51","","10",""
"keralit-basis-uitwendig-hoekprofiel","Keralit basis uitwendig hoekprofiel","Uitwendig hoekprofiel voor Keralit geveldelen. Zelfde folie als de sponning.","Keralit","montage","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-HKU-ANTR","","36.33","","10","active"
"keralit-basis-uitwendig-hoekprofiel","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-HKU-VEIK","","36.33","","10",""
"keralit-basis-uitwendig-hoekprofiel","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-HKU-GOLD","","36.33","","10",""
"keralit-basis-uitwendig-hoekprofiel","","","","","","","Kleur","Crème","Lengte","6 m","KER-HKU-CREM","","36.33","","10",""
"keralit-basis-uitwendig-hoekprofiel","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-HKU-ZWPT","","36.33","","10",""
"keralit-eindkap-hoek-uitwendig","Keralit eindkap voor uitwendig hoekprofiel","Eindkap op het uitwendige Keralit hoekprofiel.","Keralit","montage","keralit","TRUE","Kleur","Antraciet","Lengte","stuk","KER-EKHK-ANTR","","5.76","","10","active"
"keralit-eindkap-hoek-uitwendig","","","","","","","Kleur","Vergrijsd eiken","Lengte","stuk","KER-EKHK-VEIK","","5.76","","10",""
"keralit-eindkap-hoek-uitwendig","","","","","","","Kleur","Golden oak","Lengte","stuk","KER-EKHK-GOLD","","5.76","","10",""
